MA_1_1,MA_1_2,MA_1_3,MA_1_4,MA_1_5,MA_1_6,MA_1_7,MA_1_8,MA_1_9,MA_1_10,MA_1_11,MA_2_1,MA_2_2,MA_2_3,MA_2_4,MA_2_5,MA_2_6,MA_2_7,MA_2_8,MA_2_9,MA_2_10,MA_2_11,GA_1,GA_2,GA_3,GA_4,GA_5,GA_6,GA_7,Age,Employment_1,Employment_2,Employment_3,Employment_4,Teacher,Educ_Attain,Parent,child35,child618,gender,ethnicity,race,collectiontype,id,Hopko_MA_mean,CG_MA_mean,scale1to10,generalanxiety,testanxiety,Fluency_Correct,MathFluency,BerlinNumeracy,ONET___STEM,Medianhouseholdincomedollars
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Somewhat true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,58,,,,,,Some college,No,,,Woman,Non-Hispanic/Latino,White,1,185,1.1666666667,1.5454545455,2,1,-4,16,0.2502463362,2,,84403
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,39,,,1,,No,Graduated high school or high school equivalent,Yes,No,Yes,Woman,Non-Hispanic/Latino,White,1,866,1,2.4545454545,3,1,-4,12,0.1963897026,1,0,54055
Quite a bit of anxiety,Some anxiety,Some anxiety,Some anxiety,Quite a bit of anxiety,Some anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Moderate anxiety,Moderate anxiety,Quite a bit of anxiety,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Somewhat true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Very true of me,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,60,,,1,,No,Completed graduate or professional school,Yes,No,No,Woman,Non-Hispanic/Latino,White,1,513,3.0833333333,4,10,1.2857142857,-3,28,0.4666433345,1,0,45613
Low anxiety,Low anxiety,Quite a bit of anxiety,Some anxiety,Some anxiety,Low anxiety,Quite a bit of anxiety,Low anxiety,Low anxiety,High anxiety,High anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Generally not true of me,Generally not true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,34,,,,,,Completed graduate or professional school,Yes,No,No,Woman,Non-Hispanic/Latino,White,1,424,2.3333333333,2,3,1,-2.5,24,0.3998067601,1,,76925
Low anxiety,Moderate anxiety,Moderate anxiety,Low anxiety,Some anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Not true of me at all,Not true of me at all,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,40,,,1,,No,Graduated from 4-year college,Yes,No,Yes,Man,Non-Hispanic/Latino,Black or African American,1,286,1.6666666667,1.9090909091,1,1,-4,37,0.6129785789,4,0,43029
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Some anxiety,Some anxiety,Some anxiety,Low anxiety,Moderate anxiety,Moderate anxiety,Generally not true of me,Not true of me at all,Not true of me at all,Not true of me at all,Generally not true of me,Not true of me at all,Not true of me at all,Not true of me at all,Generally not true of me,Generally not true of me,Generally not true of me,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",28,,,1,,No,Some college,Yes,No,No,Woman,Non-Hispanic/Latino,White,1,766,1.6666666667,1.4545454545,1,2,-3.25,48,0.9033253665,2,1,39875
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Moderate anxiety,Moderate anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,23,,,1,,No,Graduated from 4-year college,No,,,Woman,Non-Hispanic/Latino,White,1,222,1.5,1,1,1,-4,38,0.6333122229,4,1,
Moderate anxiety,Moderate anxiety,Some anxiety,Some anxiety,Moderate anxiety,Some anxiety,Some anxiety,Some anxiety,Some anxiety,Moderate anxiety,Quite a bit of anxiety,Somewhat true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,"Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me very much, or most of the time","Applied to me very much, or most of the time","Applied to me very much, or most of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time",28,,,1,,No,Graduated from 4-year college,No,,,Man,Non-Hispanic/Latino,White,1,821,2.5833333333,2.1818181818,1,3.4285714286,-3.75,44,0.7218558257,4,0,45838
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Generally not true of me,Not true of me at all,Not true of me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",61,,,,1,No,Completed graduate or professional school,Yes,No,No,Man,Non-Hispanic/Latino,White,1,88,1,1.0909090909,0,1.2857142857,-3.5,37,0.6166666667,3,1,49394
Moderate anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,Moderate anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,Moderate anxiety,Moderate anxiety,Quite a bit of anxiety,Somewhat true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Generally true of me,Somewhat true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,26,1,,,1,No,Some college,No,,,Man,Non-Hispanic/Latino,White,1,725,3.25,3.6363636364,8,1.7142857143,-2.75,31,0.5069169637,1,0,44346
Some anxiety,Moderate anxiety,Moderate anxiety,Moderate anxiety,Moderate anxiety,Some anxiety,Some anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Moderate anxiety,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally true of me,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time",34,,,1,,No,Graduated from 4-year college,No,,,Man,,Asian,1,173,2.6666666667,3.1818181818,6,2.4285714286,-3,19,0.3166561115,1,1,55434
Moderate anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,Some anxiety,Moderate anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Some anxiety,Quite a bit of anxiety,Somewhat true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Generally true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally not true of me,"Applied to me to a considerable degree, or a good part of the time","Applied to me very much, or most of the time","Applied to me very much, or most of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me very much, or most of the time","Applied to me very much, or most of the time","Applied to me to a considerable degree, or a good part of the time",54,,,1,,No,Some college,Yes,No,No,Man,Non-Hispanic/Latino,White,1,416,2.8333333333,2.7272727273,1,3.5714285714,-1,29,0.4820398597,1,0,56310
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Some anxiety,Low anxiety,Some anxiety,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,45,,,1,,No,Some college,Yes,No,No,Woman,Non-Hispanic/Latino,White,1,718,1.3333333333,2.0909090909,1,1,-4,25,0.4013549744,1,0,59682
Low anxiety,Quite a bit of anxiety,Moderate anxiety,Low anxiety,Moderate anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Moderate anxiety,Quite a bit of anxiety,High anxiety,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time",49,,,1,,No,Some college,Yes,No,Yes,Woman,Non-Hispanic/Latino,White,1,707,3.3333333333,4,9,2.4285714286,-2.25,28,0.4595588235,1,0,54486
Low anxiety,Low anxiety,Quite a bit of anxiety,Some anxiety,Some anxiety,Some anxiety,Moderate anxiety,Some anxiety,Low anxiety,Some anxiety,Moderate anxiety,Not true of me at all,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Did not apply to me at all,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,28,,1,,,,Completed graduate or professional school,No,,,Woman,Non-Hispanic/Latino,Black or African American,2,944,2.0833333333,2.4545454545,4,1.4285714286,-3.25,14,0.2331079956,1,,24841
Quite a bit of anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Some anxiety,Quite a bit of anxiety,High anxiety,High anxiety,High anxiety,Moderate anxiety,Quite a bit of anxiety,High anxiety,Generally true of me,Generally true of me,Not true of me at all,Generally not true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Very true of me,Generally true of me,Very true of me,Very true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me very much, or most of the time",Did not apply to me at all,37,,,1,,No,Graduated from 2-year college,No,,,Man,Hispanic/Latino,White,1,310,3.8333333333,3.6363636364,9,1.4285714286,-4,9,0.149967507,1,0,55324
Some anxiety,Low anxiety,Some anxiety,Low anxiety,Moderate anxiety,Some anxiety,Moderate anxiety,Some anxiety,Low anxiety,Some anxiety,Some anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Generally not true of me,Generally not true of me,Not true of me at all,Not true of me at all,Generally not true of me,Not true of me at all,Not true of me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,32,,,,1,No,Some college,No,,,Man,Non-Hispanic/Latino,White,1,93,1.9166666667,1.2727272727,2,1.1428571429,-4,48,0.799960002,1,0,98303
Moderate anxiety,Moderate anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,Moderate anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,Some anxiety,Some anxiety,Somewhat true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Generally not true of me,"Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time",23,,,1,,No,Some college,No,,,Man,Non-Hispanic/Latino,White,1,752,3,2.8181818182,6,2.5714285714,-2.5,14,0.2303427171,2,0,76297
Low anxiety,Low anxiety,Quite a bit of anxiety,Low anxiety,Some anxiety,Low anxiety,Moderate anxiety,Low anxiety,Low anxiety,High anxiety,Quite a bit of anxiety,Not true of me at all,Somewhat true of me,Somewhat true of me,Generally not true of me,Not true of me at all,Somewhat true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,22,,,,,,Some college,Yes,Yes,Yes,Woman,Non-Hispanic/Latino,White,1,744,2.0833333333,2.3636363636,5,1,-1.5,27,0.4429787862,4,,38750
Some anxiety,Some anxiety,Moderate anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,Moderate anxiety,Some anxiety,High anxiety,Generally true of me,Generally true of me,Generally not true of me,Generally true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Generally true of me,Generally true of me,Very true of me,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,28,,,1,,No,Completed graduate or professional school,No,,,Woman,Non-Hispanic/Latino,Black or African American,2,928,2.8333333333,3.7272727273,6,1.5714285714,-3,31,0.5166322245,2,0,62169
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Moderate anxiety,Low anxiety,Low anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,29,,,1,,No,Completed graduate or professional school,No,,,Man,Non-Hispanic/Latino,White,2,943,1.1666666667,1,0,1.2857142857,-4,44,0.7333088897,2,0,50855
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Some anxiety,Moderate anxiety,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Generally true of me,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,30,,1,,,,Completed graduate or professional school,No,,,Woman,Non-Hispanic/Latino,White,2,922,1.5,2.6363636364,3,1.2857142857,-4,36,0.599940006,3,,18154
Low anxiety,Low anxiety,Some anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Moderate anxiety,Low anxiety,Moderate anxiety,Some anxiety,Somewhat true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,48,,,1,,No,Graduated from 4-year college,Yes,No,Yes,Woman,Non-Hispanic/Latino,Multirace (please specify):,1,574,1.5833333333,3,3,1,-3.25,37,0.6165947306,1,0,88498
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,26,,,1,,No,Completed graduate or professional school,No,,,Man,Non-Hispanic/Latino,Black or African American,1,487,1,2,1,1,-4,35,0.5833041681,3,0,122165
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally true of me,Generally not true of me,Generally not true of me,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,23,,1,,1,No,Graduated from 4-year college,No,,,Man,Non-Hispanic/Latino,White,2,940,1.1666666667,2.2727272727,3,1.2857142857,-3.25,43,0.7166188921,1,0,46297
Low anxiety,Low anxiety,High anxiety,Moderate anxiety,Moderate anxiety,Low anxiety,Moderate anxiety,Moderate anxiety,Low anxiety,High anxiety,Moderate anxiety,Not true of me at all,Not true of me at all,Somewhat true of me,Somewhat true of me,Generally true of me,Not true of me at all,Not true of me at all,Somewhat true of me,Not true of me at all,Generally true of me,Not true of me at all,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time",31,,,,,,Some college,Yes,No,No,Woman,Non-Hispanic/Latino,Asian,1,498,2.6666666667,2.0909090909,2,1.7142857143,-3,29,0.4833091679,1,,35310
Some anxiety,Low anxiety,Moderate anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Quite a bit of anxiety,Some anxiety,Some anxiety,Some anxiety,Quite a bit of anxiety,Generally not true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,52,,,1,,No,Graduated from 4-year college,No,,,Man,Non-Hispanic/Latino,White,1,600,2.4166666667,2.8181818182,6,1,-3.25,39,0.6490480628,4,0,24327
Moderate anxiety,Moderate anxiety,Moderate anxiety,Moderate anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Somewhat true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Generally not true of me,Generally true of me,Generally true of me,Generally true of me,Somewhat true of me,"Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time",28,1,,,1,No,Some college,No,,,Man,Non-Hispanic/Latino,White,1,527,3.3333333333,3.3636363636,6,3,-2.25,19,0.3149397471,1,1,93509
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Moderate anxiety,Moderate anxiety,Generally not true of me,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Somewhat true of me,Not true of me at all,Not true of me at all,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,33,,,1,,No,Graduated from 4-year college,Yes,Yes,Yes,Woman,Non-Hispanic/Latino,Black or African American,1,557,1.5,1.3636363636,1,1,-2.75,35,0.5832750058,4,1,154444
Low anxiety,Low anxiety,Quite a bit of anxiety,Low anxiety,Low anxiety,Some anxiety,Quite a bit of anxiety,Low anxiety,Some anxiety,Moderate anxiety,High anxiety,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Not true of me at all,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,32,,,1,,No,Graduated high school or high school equivalent,Yes,Yes,Yes,Woman,Non-Hispanic/Latino,White,1,799,2.25,1.9090909091,2,1,-4,48,0.8418394191,4,0,40733
Some anxiety,Low anxiety,Low anxiety,Some anxiety,Some anxiety,Some anxiety,Some anxiety,Low anxiety,Some anxiety,Low anxiety,Some anxiety,Generally not true of me,Somewhat true of me,Generally not true of me,Not true of me at all,Generally not true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,27,,1,,,,Attended graduate or professional school without graduating,No,,,Woman,Non-Hispanic/Latino,White,2,936,1.5833333333,2.1818181818,2,1.1428571429,-3.75,24,0.399733511,2,,38912
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Generally not true of me,Not true of me at all,Not true of me at all,Generally not true of me,Not true of me at all,Not true of me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",41,,,1,,No,Attended graduate or professional school without graduating,No,,,Woman,Non-Hispanic/Latino,White,1,464,1,1.1818181818,0,1.2857142857,-4,43,0.7166188921,2,1,132634
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Moderate anxiety,Low anxiety,Some anxiety,Some anxiety,Moderate anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Generally not true of me,Generally not true of me,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,52,,,,,,Some college,Yes,No,No,Man,Non-Hispanic/Latino,White,1,785,1.6666666667,1.2727272727,1,1,-4,22,0.3619194894,4,,42580
Quite a bit of anxiety,Some anxiety,Some anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,High anxiety,Quite a bit of anxiety,Moderate anxiety,Generally not true of me,Generally true of me,Generally true of me,Very true of me,Generally true of me,Somewhat true of me,Generally true of me,Generally not true of me,Generally not true of me,Generally true of me,Somewhat true of me,"Applied to me very much, or most of the time","Applied to me very much, or most of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me very much, or most of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time",38,,,1,,No,Graduated from 4-year college,Yes,Yes,No,Man,Non-Hispanic/Latino,White,1,401,3.5,3.3636363636,6,3.1428571429,-2.25,26,0.4313634403,3,1,43611
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,39,,,1,,No,Graduated from 4-year college,Yes,No,Yes,Man,Non-Hispanic/Latino,Asian,1,800,1.1666666667,1.0909090909,1,1.1428571429,-4,33,0.5411876609,3,0,41106
Low anxiety,Low anxiety,Moderate anxiety,Low anxiety,Some anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Moderate anxiety,Moderate anxiety,Generally not true of me,Generally not true of me,Generally not true of me,Not true of me at all,Generally not true of me,Somewhat true of me,Not true of me at all,Generally not true of me,Somewhat true of me,Very true of me,Generally true of me,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Did not apply to me at all,39,,,,,,Some college,Yes,Yes,Yes,Woman,Non-Hispanic/Latino,White,1,755,1.75,2.4545454545,2,1.7142857143,-2.75,46,0.9655954155,2,,147852
Some anxiety,Moderate anxiety,Quite a bit of anxiety,Some anxiety,Low anxiety,Some anxiety,High anxiety,Some anxiety,Quite a bit of anxiety,High anxiety,High anxiety,Very true of me,Very true of me,Generally not true of me,Somewhat true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,24,,,,1,No,Graduated from 4-year college,No,,,Woman,Non-Hispanic/Latino,White,1,580,3,4.5454545455,9,1.1428571429,-4,30,0.4999666689,4,0,83184
Quite a bit of anxiety,High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,Moderate anxiety,Quite a bit of anxiety,High anxiety,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",58,,1,,,,Some college,Yes,No,No,Woman,Non-Hispanic/Latino,White,1,40,4.6666666667,5,10,1.4285714286,-1,19,0.3166350032,1,,78245
Low anxiety,Some anxiety,Some anxiety,Low anxiety,Moderate anxiety,Some anxiety,Moderate anxiety,Some anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Generally not true of me,Somewhat true of me,Not true of me at all,Generally true of me,Generally true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Very true of me,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,36,,,1,,No,Completed graduate or professional school,Yes,No,No,Woman,Non-Hispanic/Latino,White,2,964,2.1666666667,3.0909090909,4,1.2857142857,-3.75,48,0.8639930881,3,0,38912
